cluster,marker,mean
2,CD86,1.3898182985953158
2,CD30,0.5942810869266646
2,CD38,1.6037839475803997
2,CD19,4.129753961015068
2,IgD,5.32895620443574
2,CD27,1.6719107274750342
2,IgM,4.074077107390785
3,CD86,1.1569977356714458
3,CD30,0.41018859902844446
3,CD38,1.820182922376429
3,CD19,3.9907253588713743
3,IgD,5.468530454642814
3,CD27,-0.8958924191603636
3,IgM,3.8045467308566954
5,CD86,3.5198784078206424
5,CD30,-0.30960236748412695
5,CD38,5.1890380118858985
5,CD19,3.430554238921951
5,IgD,1.3212586213526696
5,CD27,5.111583779959086
5,IgM,1.1763879368635544
1,CD86,1.8459721544794776
1,CD30,0.49955953840969597
1,CD38,0.8384555998144095
1,CD19,4.018434942912097
1,IgD,1.047854150375364
1,CD27,3.130800273196755
1,IgM,1.4530281424143807
4,CD86,1.484810976282117
4,CD30,6.50766577661447
4,CD38,6.638618103282548
4,CD19,3.387691453878084
4,IgD,2.11268874207691
4,CD27,2.6712163624402585
4,IgM,2.6886087146495807
